tconst,ordering,nconst,category,characters,averageRating,numVotes,directors,writers,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres,decennie_startYear,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,title,region,language,isOriginalTitle
tt0221013,12,nm0082582,writer,unknown,6.6,1091,nm0082748,"nm0082582,nm0082748,nm0341853,nm0537604,nm0723845",movie,Séraphin: un homme et son péché,0.0,2002.0,110.0,Drama,2000.0,Pierre Billon,,,writer,"tt0096689,tt0147197,tt0809273,tt0218485",Séraphin: un homme et son péché,FR,fr,0
tt0277578,8,nm0023086,actress,Clienta peixateria 2,6.3,348,nm0690532,"nm0062040,nm0690532",movie,Anita no perd el tren,0.0,2001.0,89.0,"Comedy,Drama",2000.0,Maribel Altés,,,actress,"tt1339399,tt0388341,tt0277578,tt0118899",Anita n'en fait qu'à sa tête,FR,fr,0
tt0277578,3,nm2872051,actress,Bessona 1,6.3,348,nm0690532,"nm0062040,nm0690532",movie,Anita no perd el tren,0.0,2001.0,89.0,"Comedy,Drama",2000.0,Jade Pradas,,,actress,tt0277578,Anita n'en fait qu'à sa tête,FR,fr,0
tt0277578,4,nm2871789,actress,Bessona 2,6.3,348,nm0690532,"nm0062040,nm0690532",movie,Anita no perd el tren,0.0,2001.0,89.0,"Comedy,Drama",2000.0,Arlem Pradas,,,actress,tt0277578,Anita n'en fait qu'à sa tête,FR,fr,0
tt0277578,5,nm1917048,actress,Anita nena,6.3,348,nm0690532,"nm0062040,nm0690532",movie,Anita no perd el tren,0.0,2001.0,89.0,"Comedy,Drama",2000.0,Sònia Colom,,,actress,tt0277578,Anita n'en fait qu'à sa tête,FR,fr,0
tt0277578,12,nm0062040,writer,unknown,6.3,348,nm0690532,"nm0062040,nm0690532",movie,Anita no perd el tren,0.0,2001.0,89.0,"Comedy,Drama",2000.0,Lluís-Anton Baulenas,1958.0,,writer,"tt0277578,tt0421603,tt1454605,tt0470636",Anita n'en fait qu'à sa tête,FR,fr,0
tt0337717,5,nm0486230,actress,Carly,3.9,849,nm0769419,nm0181629,movie,Shelter Island,0.0,2003.0,82.0,Thriller,2000.0,Mimi Langeland,,,actress,"tt0186975,tt0159206,tt0337717,tt0149399",Shelter Island,FR,fr,0
tt0337717,6,nm0102726,actress,Agnes,3.9,849,nm0769419,nm0181629,movie,Shelter Island,0.0,2003.0,82.0,Thriller,2000.0,Denia Brache,,,actress,"tt3581652,tt0482572,tt0430308,tt4019560",Shelter Island,FR,fr,0
tt0337717,8,nm1754100,actress,Elyse Shapiro,3.9,849,nm0769419,nm0181629,movie,Shelter Island,0.0,2003.0,82.0,Thriller,2000.0,Joanna Glushak,,,actress,"tt3288518,tt3501074",Shelter Island,FR,fr,0
tt0337717,9,nm1752794,actor,Carly's Date,3.9,849,nm0769419,nm0181629,movie,Shelter Island,0.0,2003.0,82.0,Thriller,2000.0,Scott Sanford,1978.0,,actor,"tt0065272,tt0337717,tt1442435",Shelter Island,FR,fr,0
